id,dir,OmM,OmB,h,mean,median,std,min,max,range,q05,q25,q75,q95,iqr,w90,skew,kurt,grad_mean,rmse_to_mean,corr_to_mean,dist_mean,outlier_struct,outlier_maha
28,0028_0.15343_0.02187_0.73843,0.15343,0.02187,0.73843,9.683581352233887,9.675283432006836,0.19184787571430206,8.970735549926758,11.424333572387695,2.4535980224609375,9.382553100585938,9.554861068725586,9.800118446350098,10.01200795173645,0.24525737762451172,0.6294548511505127,0.4203417448962525,0.7087484245546558,0.07918526977300644,0.1213645972827873,0.8453673564898635,754.5145760063897,-0.2837117190472248,1.8477662550398104
29,0029_0.13838_0.02272_0.56189,0.13838,0.02272,0.56189,9.613780975341797,9.58906364440918,0.33509039878845215,8.61394214630127,13.538063049316406,4.924120903015137,9.120454788208008,9.38461685180664,9.800448417663574,10.20764446258545,0.4158315658569336,1.0871896743774414,0.7789310279110235,1.6902959658517833,0.12775632739067078,0.19701840765818524,0.8651315899346997,987.0892247077236,1.9772260446620273,1.557577796217147
30,0030_0.13219_0.02206_0.71865,0.13219,0.02206,0.71865,9.717916488647461,9.704291343688965,0.24492914974689484,8.88316535949707,12.271784782409668,3.3886194229125977,9.342704772949219,9.55277156829834,9.862496376037598,10.1380033493042,0.3097248077392578,0.7952985763549805,0.577103441568822,1.1641147766854347,0.09687065333127975,0.0906166958960827,0.933986356635996,677.9998353170623,-1.0275377021064394,0.5492312460745035
31,0031_0.12049_0.02223_0.74958,0.12049,0.02223,0.74958,9.759575843811035,9.745736122131348,0.24738357961177826,8.919684410095215,12.298906326293945,3.3792219161987305,9.380919456481934,9.592801094055176,9.90540599822998,10.184051513671875,0.3126049041748047,0.8031320571899414,0.5833804139315922,1.1846580553671044,0.09766405820846558,0.10838727528433359,0.936824217949394,720.5229340689821,-0.6141561046924572,1.8169789503675347
32,0032_0.12704_0.02298_0.77130,0.12704,0.02298,0.7713,9.772722244262695,9.762033462524414,0.21674084663391113,8.99804401397705,12.000144958496094,3.002100944519043,9.436347007751465,9.627047538757324,9.902641296386719,10.143335342407227,0.27559375762939453,0.7069883346557617,0.4943786896088154,0.9179999728067711,0.08737144619226456,0.1287960765640737,0.8941229963491653,774.9547520402222,-0.08500577173177441,1.7003015754870578
33,0033_0.12094_0.02178_0.71037,0.12094,0.02178,0.71037,9.72246265411377,9.705395698547363,0.27742817997932434,8.825390815734863,12.855118751525879,4.029727935791016,9.303498268127441,9.534682273864746,9.882882118225098,10.202625274658203,0.34819984436035156,0.8991270065307617,0.6629809389616507,1.4208728357342197,0.10795692354440689,0.09432695563968492,0.9561886185891314,686.4568137284082,-0.9453245203867067,1.3797957321239633
34,0034_0.14104_0.02192_0.77141,0.14104,0.02192,0.77141,9.721539497375488,9.713330268859863,0.1911105364561081,9.011883735656738,11.452757835388184,2.4408740997314453,9.42151165008545,9.593317031860352,9.837668418884277,10.048649787902832,0.24435138702392578,0.6271381378173828,0.41751656965337935,0.702771429213509,0.07892211526632309,0.12434826973134425,0.8439195811998659,762.6406351181186,-0.20471551710332794,1.1157309560089548
35,0035_0.14563_0.02182_0.74474,0.14563,0.02182,0.74474,9.70079231262207,9.691691398620605,0.2000942826271057,8.966217994689941,11.5625,2.5962820053100586,9.387989044189453,9.566446304321289,9.821786880493164,10.043313980102539,0.255340576171875,0.6553249359130859,0.44511417880101856,0.7759084774189842,0.08190170675516129,0.11470606085264351,0.8626873383527071,736.789598632666,-0.4560222908525266,1.2357850713847767
36,0036_0.12405_0.02275_0.58061,0.12405,0.02275,0.58061,9.654826164245605,9.629278182983398,0.34004631638526917,8.649168968200684,13.591598510742188,4.942429542541504,9.15513801574707,9.422079086303711,9.843770980834961,10.258502960205078,0.42169189453125,1.1033649444580078,0.7853329044298858,1.6973594367889158,0.12938657402992249,0.19561379558267772,0.8457201805553148,982.3802807445458,1.9314487886584653,1.5585942890257733
37,0037_0.13858_0.02274_0.63441,0.13858,0.02274,0.63441,9.660421371459961,9.640918731689453,0.29796096682548523,8.722827911376953,13.10023307800293,4.377405166625977,9.214635848999023,9.458089828491211,9.83030891418457,10.180452346801758,0.3722190856933594,0.9658164978027344,0.7109528738059406,1.550537357780473,0.1150708720088005,0.11452665296416041,0.9494843061636853,736.3201215682833,-0.46058623808402904,0.7582623187511947
38,0038_0.14121_0.02190_0.66528,0.14121,0.0219,0.66528,9.66358757019043,9.647140502929688,0.2711317539215088,8.779247283935547,12.731658935546875,3.952411651611328,9.253074645996094,9.480186462402344,9.82101821899414,10.131914138793945,0.3408317565917969,0.8788394927978516,0.6482316723449566,1.376843182020247,0.10585612803697586,0.09265459913213207,0.954248587530873,682.6159225525549,-0.9826631381349206,0.6284543724188676
39,0039_0.12160_0.02197_0.76592,0.1216,0.02197,0.76592,9.761752128601074,9.749452590942383,0.23235580325126648,8.95809555053711,12.261604309082031,3.303508758544922,9.403712272644043,9.605375289916992,9.89989972114563,10.159453392028809,0.2945244312286377,0.7557411193847656,0.5405814574573135,1.054804165218017,0.09259545803070068,0.11463041511159412,0.9183542210930544,736.5915990366425,-0.4579471126950977,1.614875038065484
40,0040_0.12322_0.02170_0.71615,0.12322,0.0217,0.71615,9.721702575683594,9.705673217773438,0.26801663637161255,8.843731880187988,12.717276573181152,3.873544692993164,9.315254211425781,9.540521621704102,9.877638816833496,10.184114456176758,0.33711719512939453,0.8688602447509766,0.6394611961554971,1.3527366297969055,0.1047363132238388,0.090430251331791,0.9530301296288526,677.5810949507585,-1.0316084205301896,1.135456879672552
41,0041_0.13107_0.02170_0.60411,0.13107,0.0217,0.60411,9.633485794067383,9.610618591308594,0.32326027750968933,8.651813507080078,13.318742752075195,4.666929244995117,9.15513300895691,9.412991523742676,9.81476879119873,10.203631401062012,0.4017772674560547,1.0484983921051025,0.7597760000481908,1.6606270767773053,0.12372294813394547,0.16494654603124323,0.9038214594453176,882.6813056063164,0.9622409272178054,1.2372491126026464
42,0042_0.13047_0.02321_0.64533,0.13047,0.02321,0.64533,9.689773559570312,9.669681549072266,0.3029797375202179,8.743430137634277,13.165781021118164,4.422350883483887,9.237361907958984,9.483914375305176,9.861967086791992,10.219602823257446,0.3780527114868164,0.9822409152984619,0.7208756839816554,1.5760583858249184,0.1167512759566307,0.11642733754337102,0.9442233954363114,741.3158516611334,-0.41202103595519246,1.1994127098500516
43,0043_0.14564_0.02157_0.56588,0.14564,0.02157,0.56588,9.580275535583496,9.556785583496094,0.3268637955188751,8.592644691467285,13.309610366821289,4.716965675354004,9.097394943237305,9.357134819030762,9.763178825378418,10.15766453742981,0.40604400634765625,1.0602695941925049,0.7666171287282361,1.672770491439576,0.12499607354402542,0.19740140014518023,0.8932598133374018,988.3751343645307,1.98972681256613,2.2639606659436247
44,0044_0.13830_0.02266_0.73865,0.1383,0.02266,0.73865,9.729473114013672,9.718716621398926,0.21716634929180145,8.952483177185059,11.962235450744629,3.0097522735595703,9.39258098602295,9.583490371704102,9.859622955322266,10.100898742675781,0.27613258361816406,0.708317756652832,0.49628734955664205,0.9219296330562936,0.08754619210958481,0.10796088217452236,0.8946625649587204,719.4456194342034,-0.6246290489912814,0.6741721352931384
45,0045_0.13629_0.02283_0.84772,0.13629,0.02283,0.84772,9.768695831298828,9.763386726379395,0.15945681929588318,9.145654678344727,11.016890525817871,1.8712358474731445,9.514845848083496,9.661962509155273,9.867409706115723,10.040409088134766,0.20544719696044922,0.5255632400512695,0.32280160443288447,0.4763302983690618,0.06848837435245514,0.16333634174921097,0.7683307145113016,877.6315492244872,0.9131505170421416,1.5874092487751308
46,0046_0.12370_0.02237_0.65753,0.1237,0.02237,0.65753,9.69368839263916,9.673261642456055,0.30572909116744995,8.741957664489746,13.197547912597656,4.45559024810791,9.237687110900879,9.485847473144531,9.867091178894043,10.228904724121094,0.3812437057495117,0.9912176132202148,0.7263822004787645,1.589328665927919,0.1176849901676178,0.12055355134113661,0.940601685147396,752.3249086061309,-0.3049982253059779,1.3566758464211492
47,0047_0.13785_0.02220_0.79236,0.13785,0.0222,0.79236,9.740463256835938,9.732921600341797,0.18424880504608154,9.04997730255127,11.371946334838867,2.3219690322875977,9.450305938720703,9.616957664489746,9.8528413772583,10.05581784248352,0.2358837127685547,0.6055119037628174,0.39667777321931985,0.6492377419403623,0.07665318250656128,0.1347460438835648,0.8286973158006176,791.7853059263991,0.07860980321537922,1.141227822737515
48,0048_0.15441_0.02264_0.56391,0.15441,0.02264,0.56391,9.585371971130371,9.562959671020508,0.3196536898612976,8.609540939331055,13.234237670898438,4.624696731567383,9.111788749694824,9.367472648620605,9.765010833740234,10.148260116577148,0.3975381851196289,1.0364713668823242,0.7542691374089671,1.6497230225057535,0.12254463136196136,0.18209943232453807,0.9134555248858758,937.673279273304,1.4968367254222035,2.1953594210182747
49,0049_0.14984_0.02218_0.59465,0.14984,0.02218,0.59465,9.60458755493164,9.583832740783691,0.30748313665390015,8.649637222290039,13.12741470336914,4.477777481079102,9.146585464477539,9.395417213439941,9.778774499893188,10.143327713012695,0.38335728645324707,0.9967422485351562,0.7312788066587659,1.5993939474020813,0.11838344484567642,0.1526998986177371,0.9379858592048425,844.8130204469837,0.594110365947587,1.8125942192754418
50,0050_0.15361_0.02316_0.79219,0.15361,0.02316,0.79219,9.721761703491211,9.71618938446045,0.16240110993385315,9.088560104370117,11.004866600036621,1.916306495666504,9.463580131530762,9.61303424835205,9.82209587097168,9.99873161315918,0.2090616226196289,0.535151481628418,0.33182103381164885,0.4950098019957698,0.06947872042655945,0.14596089087002484,0.7756830454348466,824.5381771380861,0.3970116746399149,1.8086966009554004
51,0051_0.12386_0.02348_0.55223,0.12386,0.02348,0.55223,9.653603553771973,9.626262664794922,0.35062453150749207,8.635619163513184,13.735639572143555,5.100020408630371,9.140657424926758,9.412993431091309,9.84760570526123,10.278576850891113,0.4346122741699219,1.1379194259643555,0.7989672534983526,1.7062991455505356,0.13295871019363403,0.22110173268701003,0.7999318651441817,1069.4301572740178,2.7776904330969128,1.789244340240864
